Tiempo,Solución
0.664244,253
1.98798,322
1.75591,261
1.90528,264
0.102646,261
0.142455,241
0.140711,247
0.390474,288
0.346597,275
0.39148,253
1.26729,302
1.18534,257
0.986138,262
0.17366,266
0.189767,262
0.202826,256
0.491493,300
0.502189,262
0.53969,249
1.46652,302
1.43084,266
1.5003,257
0.21926,273
0.212038,255
0.208241,238
0.649092,299
0.687862,262
0.661537,267
1.90162,309
1.88752,273
2.01582,258
0.152073,286
0.13159,247
0.129027,243
0.406193,290
0.447327,254
0.34941,248
1.20485,303
0.985769,268
1.11254,257
0.181121,282
0.195448,256
0.18182,247
0.637197,283
0.554812,271
0.534155,253
1.75758,317
1.67552,277
1.4789,257
0.199769,286
0.199848,268
0.230637,255
0.651837,296
0.629319,249
0.65365,253
1.95995,319
1.82438,265
1.93823,258
0.145569,279
0.1243,253
0.126242,239
0.403826,299
0.398685,250
0.362508,257
1.02588,295
1.10652,279
0.990108,259
0.190321,280
0.172267,260
0.191005,240
0.539238,299
0.584042,264
0.572034,245
1.41199,303
1.72441,272
1.48414,256
0.206535,278
0.216125,251
0.213429,245
0.604159,281
0.718058,257
0.680486,258
1.91707,300
1.86554,267
1.75115,257
