Tiempo,Solución
0.349739,3770
0.358005,3708
0.355138,3688
0.472745,3668
0.47109,3739
0.470586,3680
0.587768,3689
0.571307,3755
0.576541,3696
3.38636,4012
3.37262,3800
3.36578,3747
3.48284,3899
3.48805,3804
3.48839,3797
3.59349,3779
3.58777,3786
3.59169,3774
11.7278,4200
11.7477,3894
11.7623,3779
11.8676,3969
11.8826,3808
11.9395,3812
11.9943,3957
12.0272,3852
12.0078,3822
0.352386,3818
0.356637,3768
0.356597,3665
0.468514,3764
0.469405,3693
0.470156,3722
0.566995,3807
0.566903,3711
0.56836,3706
3.37413,3981
3.38069,3850
3.385,3756
3.49483,3817
3.49221,3757
3.51297,3744
3.59702,3874
3.59772,3794
3.59839,3772
11.7692,4142
11.8245,3872
11.8476,3787
11.926,3947
11.8981,3878
11.905,3806
11.9895,3936
11.9979,3814
11.9803,3792
0.352677,3746
0.356827,3706
0.357368,3692
0.470734,3739
0.468978,3745
0.469539,3686
0.568588,3710
0.567268,3762
0.567634,3733
3.33146,4073
3.33224,3798
3.3814,3740
3.48896,3868
3.48781,3772
3.5092,3753
3.60772,3836
3.58769,3799
3.59449,3728
11.7506,4175
11.7736,3859
11.7808,3784
11.8804,4029
11.8946,3834
11.8772,3833
11.9612,3936
11.9793,3844
11.9861,3758
0.352411,3791
0.357475,3725
0.355342,3745
0.46839,3785
0.470183,3704
0.469433,3691
0.56812,3713
0.567117,3723
0.568151,3725
3.38598,4011
3.38244,3801
3.38397,3795
3.4947,3864
3.49618,3797
3.49606,3736
3.59134,3797
3.59383,3773
3.59094,3746
11.7808,4130
11.7954,3912
11.8861,3812
12.2537,3968
11.8662,3826
11.7688,3802
11.8472,3946
11.8605,3828
11.8631,3806
0.354413,3708
0.354201,3692
0.353569,3727
0.463324,3738
0.463242,3689
0.463628,3781
0.560187,3744
0.560497,3728
0.560537,3712
3.34213,3993
3.34399,3870
3.3474,3775
3.45544,3856
3.45753,3749
3.46233,3760
3.55731,3797
3.56492,3775
3.56452,3763
11.6455,4111
11.6526,3870
11.66,3858
11.7548,3966
11.7541,3833
11.7839,3811
11.8577,3915
11.9106,3881
11.9672,3746
0.354442,3812
0.35484,3682
0.353408,3716
0.463843,3694
0.463163,3661
0.464253,3775
0.559988,3713
0.560872,3702
0.560832,3694
3.34392,4024
3.34537,3795
3.35035,3799
3.45546,3837
3.45671,3830
3.46111,3766
3.552,3816
3.55214,3828
3.55566,3775
11.6423,4117
11.6484,3911
11.6589,3793
11.7465,3972
11.7918,3834
12.035,3805
11.9564,3917
11.8551,3863
11.8665,3829
0.354662,3760
0.356409,3783
0.354578,3739
0.463116,3838
0.464435,3751
0.463782,3698
0.563022,3726
0.560817,3741
0.564437,3693
3.34647,4061
3.34186,3790
3.3441,3789
3.45766,3863
3.46258,3831
3.45908,3757
3.55433,3805
3.55322,3762
3.55188,3791
11.6354,4121
11.6417,3859
11.6484,3772
11.7475,3996
11.7668,3887
11.7651,3769
11.8549,3954
11.8424,3837
11.852,3768
0.354251,3781
0.35389,3754
0.353328,3754
0.463272,3723
0.463076,3708
0.463595,3812
0.560238,3728
0.560217,3712
0.560854,3700
3.34117,4030
3.34339,3895
3.34609,3729
3.45127,3836
3.45197,3820
3.45644,3751
3.54876,3873
3.55775,3795
3.55706,3747
11.6456,4142
11.6408,3907
11.6506,3832
11.7446,3977
11.7627,3846
11.7658,3766
11.9713,4004
11.8713,3916
11.8612,3767
0.354609,3702
0.353894,3704
0.353779,3715
0.463222,3680
0.462804,3760
0.463236,3716
0.560229,3763
0.560394,3729
0.561891,3716
3.3407,4046
3.34506,3827
3.34612,3770
3.45294,3841
3.45807,3795
3.45878,3775
3.55209,3826
3.55816,3839
3.55599,3775
11.752,4119
11.7936,3834
11.8339,3774
11.7514,4024
11.7525,3819
11.7711,3854
11.8485,3941
11.8539,3816
11.8608,3805
0.355497,3758
0.356132,3691
0.353394,3677
0.464581,3716
0.4633,3705
0.464247,3727
0.55976,3736
0.562477,3760
0.560709,3711
3.33774,4045
3.34455,3799
3.36116,3737
3.48889,3889
3.45359,3822
3.46082,3789
3.55281,3876
3.55744,3752
3.55416,3736
11.6335,4122
11.6402,3883
11.6523,3790
11.741,3974
11.7508,3865
11.7609,3800
11.8646,3965
11.8464,3812
11.9896,3773
0.354102,3706
0.353333,3709
0.353781,3695
0.462861,3674
0.463398,3685
0.463452,3669
0.562233,3743
0.565222,3740
0.560634,3715
3.34611,3944
3.34523,3837
3.34844,3819
3.45248,3824
3.45521,3811
3.46157,3747
3.5515,3842
3.55147,3785
3.55829,3764
11.6327,4108
11.6435,3864
11.671,3819
11.6832,4037
11.6462,3815
11.672,3789
11.721,3990
11.7241,3843
11.7383,3790
0.349919,3849
0.348788,3687
0.350393,3719
0.460279,3725
0.460454,3717
0.46088,3679
0.559908,3678
0.557887,3709
0.557508,3760
3.30539,4039
3.30554,3813
3.30941,3726
3.42433,3871
3.49058,3835
3.45611,3798
3.51183,3824
3.51283,3764
3.51491,3769
11.528,4090
11.5242,3834
11.5383,3784
