Tiempo,Solución
0.658347,3900
0.564668,3827
0.596443,3670
1.40829,4035
1.99422,3828
2.12122,3733
5.8084,4056
6.27423,3905
5.43358,3751
0.754961,3882
1.00374,3827
0.883703,3679
2.47598,4071
3.10831,3876
2.60307,3721
7.17155,4135
8.04358,3813
7.40367,3788
1.09411,3943
1.03171,3769
0.988477,3697
3.441,4074
3.0294,3831
3.0372,3738
8.93454,4132
8.64127,3927
8.58138,3812
0.691537,3840
0.603216,3713
0.654292,3718
1.91732,4039
1.64891,3825
1.89516,3756
6.32222,4065
6.64095,3900
4.89611,3791
0.800465,3979
0.897199,3860
0.904305,3713
2.47422,4038
2.70728,3917
2.56504,3735
7.09482,4113
7.96776,3842
9.06707,3791
1.42266,3994
1.39332,3746
1.06749,3740
4.06322,4182
3.83759,3820
2.83416,3792
10.5728,4121
9.48072,3863
10.017,3772
0.621886,3850
0.777538,3850
0.683279,3714
1.79021,4006
2.31116,3785
1.90613,3724
4.99332,4100
5.35666,3842
5.95148,3779
0.874026,3983
0.864456,3747
0.863557,3800
2.56603,4050
2.36291,3805
2.26809,3755
7.90487,4099
7.01943,3846
6.62856,3830
0.989359,3937
1.03329,3828
1.02621,3750
3.39673,4055
2.63582,3809
3.15253,3890
8.9544,4126
9.07485,3890
9.03832,3778
0.629083,3891
0.588353,3731
0.554178,3703
1.81427,4023
1.68766,3816
1.75262,3768
4.76346,4125
5.17688,3852
5.24681,3764
0.858619,3936
0.867337,3763
1.10563,3720
2.89316,4006
3.21002,3812
3.20856,3778
7.0334,4114
8.88135,3896
8.68421,3781
1.05475,3850
1.16319,3757
1.21694,3742
3.22296,4033
4.01777,3864
3.60172,3774
9.65346,4122
10.3536,3852
9.74567,3838
0.626762,3962
0.74044,3787
0.640674,3741
2.14236,4014
2.04194,3864
1.91806,3749
6.10254,4074
5.51116,3874
5.86545,3789
0.88155,4007
0.844222,3759
0.890022,3766
2.84418,3994
2.50901,3963
2.72664,3766
8.22223,4173
7.6311,3890
8.10543,3781
0.989704,3948
0.988765,3808
1.04833,3690
3.16326,4081
2.96473,3908
3.15707,3777
9.41751,4148
9.42771,3913
7.97013,3754
0.597283,3783
0.594396,3761
0.59728,3687
1.77895,4038
1.88288,3799
1.9859,3754
5.27169,4116
5.41646,3876
5.25576,3793
0.82185,3895
0.96666,3751
0.951009,3771
2.55317,4018
2.46345,3796
2.29855,3775
6.82636,4099
8.28571,3879
6.89325,3787
1.19353,3948
1.07104,3757
1.01341,3757
3.10807,4125
3.20729,3804
3.31549,3797
8.15393,4129
7.74747,3873
8.76217,3774
0.58105,3864
0.642485,3688
0.659544,3794
1.68839,3922
1.88805,3870
1.93974,3790
5.82,4163
4.82974,3857
5.71795,3768
0.888723,3918
0.887652,3771
0.85977,3706
2.45764,3971
2.54384,3865
2.3701,3769
7.58735,4079
6.94493,3809
8.22425,3789
1.07772,3920
0.997051,3799
0.994962,3745
3.38907,4027
3.28049,3833
2.8337,3756
8.78255,4117
8.89428,3892
10.0884,3765
0.604728,3928
0.671985,3797
0.688413,3758
1.79877,3990
1.83401,3829
2.08815,3782
5.83831,4079
4.86852,3881
5.43253,3791
0.883619,3913
0.805924,3807
0.840288,3779
2.8383,4081
2.5533,3849
2.58575,3761
7.00591,4135
7.19927,3875
7.56235,3776
1.09597,3906
1.01075,3811
1.08515,3711
3.06423,4098
3.12292,3832
3.07483,3829
9.53204,4155
9.92869,3887
8.05127,3823
0.58146,3903
0.591456,3734
0.597354,3683
1.5868,3989
1.58967,3804
1.56182,3756
4.96438,4101
5.56395,3865
5.31632,3816
0.793757,3873
0.806766,3751
0.829222,3709
2.34906,4068
2.44557,3816
2.41579,3777
7.68372,4094
6.50638,3861
6.84841,3746
1.11696,3910
0.989736,3830
0.959719,3756
2.97114,4122
2.85054,3867
3.09849,3738
8.44124,4186
8.60845,3900
8.52242,3802
0.578857,3821
0.604402,3762
0.572033,3691
1.57654,4082
1.93483,3791
1.67311,3729
4.33776,4047
5.0217,3869
5.72716,3773
0.751133,3884
0.741373,3793
0.879508,3740
2.6414,4075
2.15942,3829
2.36899,3770
5.97507,4140
6.60137,3891
8.24226,3767
1.39318,4012
1.28894,3717
1.39156,3709
4.33924,4136
2.99589,3869
2.94287,3749
9.19569,4116
8.68197,3965
9.67096,3805
0.771477,3969
0.775028,3693
0.883041,3716
2.21968,4046
1.80178,3831
1.9168,3745
5.8233,4080
4.21324,3891
5.45675,3825
0.792875,3936
0.832965,3836
0.748616,3653
2.29273,4031
2.47497,3826
2.44444,3734
7.17477,4085
6.41626,3865
7.28613,3876
0.92883,3948
0.95878,3871
1.01397,3756
2.76559,4049
3.15526,3876
2.88595,3771
7.45776,4169
8.48761,3917
7.54874,3774
0.548756,3901
0.569471,3774
0.501814,3753
1.8498,4020
1.67127,3790
1.61718,3815
5.33411,4080
5.15946,3917
4.85507,3830
0.829316,3897
0.720305,3724
0.775459,3736
2.40709,4081
2.51913,3804
2.7759,3847
7.13367,4122
6.47848,3867
7.69645,3824
0.935802,3977
0.902051,3808
0.897833,3716
2.72741,4041
2.79489,3860
3.06471,3757
8.22978,4169
7.53004,3906
9.12838,3806
0.581548,3853
0.546876,3767
0.597459,3701
1.86242,3942
1.6525,3796
1.68777,3739
5.5671,4120
4.43655,3838
4.37506,3782
0.768813,3813
0.81241,3725
0.830666,3793
2.64695,4044
2.22877,3874
2.4569,3768
6.53515,4081
7.40965,3897
6.71597,3782
1.0478,3915
0.935731,3815
0.988159,3694
2.89461,4037
2.92692,3835
3.11608,3770
8.20074,4101
