Tiempo,Solución
2.87271,16514.9
3.78204,16669.3
3.8781,16315.4
4.12684,16429.9
4.14601,16505.7
4.17015,16468.5
5.12004,16700.2
5.14343,16453.3
5.16109,16534.5
38.7019,17580
39.1502,16933.2
39.3616,16634.9
39.6589,17077.8
38.7141,16667.7
38.3358,16610
39.2908,16788.4
39.3799,16836.1
39.4633,16589.4
134.307,17842.6
134.481,16917
134.657,16771.1
134.598,17422.4
127.563,17006.3
121.737,16826.8
122.376,17347.7
122.349,16896.7
122.292,16749
