Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Máximo,Mínimo,Promedio
17046.4,16717.5,16770,16663.2,16628.5,16688,16692,16837.9,16789.8,16697.3,16827.2,16971.5,16810.9,16822.9,16514.9,16983.9,16737.3,16750.2,16811.1,16622.4,17046.4,16514.9,16769.145
16819.6,16702.9,16625,16561.4,16635.7,16601.2,16827.4,16567.5,16510.8,16584.2,16712.9,16654,16431.1,16523.7,16669.3,16418.8,16778.7,16481.5,16618.3,16793.7,16827.4,16418.8,16625.885
16273.4,16579.2,16205.7,16752.2,16392.8,16287.4,16463.9,16400.4,16379,16437.7,16505.8,16473.2,16634.1,16441.5,16315.4,16452.5,16649.4,16696.4,16188.7,16667.8,16752.2,16188.7,16459.825
16500.8,16604.2,16503.2,16594.1,16715.6,16620.8,16708.5,16531.5,16992.3,16532.1,16430.3,16609.8,16431.1,16587.8,16429.9,16647.2,16515.5,16432.6,16507.6,16791.8,16992.3,16429.9,16584.335
16654.3,16457.1,16537.7,16482.2,16618.6,16578.3,16595,16480.9,16580.5,16682,16384,16410.9,16563.7,16607.1,16505.7,16383.7,16389.2,16308.9,16713.1,16439.4,16713.1,16308.9,16518.615
16488.6,16564.8,16423,16661.1,16674.5,16301.6,16513.3,16475.1,16540.1,16559.6,16441.1,16770.9,16518.4,16557.3,16468.5,16682.4,16488.9,16592.9,16398.5,16614.7,16770.9,16301.6,16536.765
16462.6,16450.7,16480.4,16549.6,16469.8,16534.7,16532.5,16386.1,16637.8,16471.3,16560.6,16409.7,16582.6,16441.5,16700.2,16697.8,16543.1,16225.6,16385.9,16485.9,16700.2,16225.6,16500.42
16594.2,16446.2,16477.2,16408.9,16579.2,16507.1,16750.7,16523.2,16444,16486.1,16578,16585.8,16608,16490,16453.3,16685.8,16665.9,16349.7,16596.3,16296.7,16750.7,16296.7,16526.315
16426.8,16553.1,16532.6,16527.5,16561.7,16660.7,16386,16527.5,16779.1,16609.4,16420.2,16439.6,16457.3,16651,16534.5,16453.7,16593.6,16528.2,16555.3,16337,16779.1,16337,16526.74
17530.1,17572,17633.7,17559.1,17570.4,17415.4,17565,17547.6,17649.5,17646.9,17370.7,17568.1,17769.7,17507.9,17580,17629.8,17558.7,17487.9,17331.8,17767.2,17769.7,17331.8,17563.075
16850.9,16788.6,16892.2,16934.2,16922.1,16942.4,16889.2,16907.5,16861.6,16894,17009.4,16784.8,16773.2,16871.9,16933.2,16775.2,17025.1,16785.1,16839.4,17065.8,17065.8,16773.2,16887.29
