Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Tiempo,Máximo,Mínimo,Promedio
Solución,Solución,Solución,Solución,Solución,Solución,Solución,Solución,Solución,Solución,Solución,Solución,Solución,Solución,Solución,Solución,Solución,Solución,Solución,Solución,Máximo,Mínimo,Promedio
17050,16829.7,17340.3,16997.2,17262.5,17071.8,17083.7,17199.8,17277.3,17187.6,17451,17115.5,17225.8,17144.5,17220.3,17322.2,17126.5,17074.1,17228.4,17131.5,17451,16829.7,17166.985
16546.9,16604.2,16530.5,16918.1,16762.5,16810.5,16886.1,16937.4,16609.7,16924.6,16547.3,16545.7,16818.4,16655.5,16485.2,16592.4,16702.6,16610.9,16518.1,16591.3,16937.4,16485.2,16679.895
16723.5,16582.6,16514.9,16561.9,16406,16587.4,16494.6,16455.6,16578.4,16368,16482.8,16674.7,16476.7,16502.4,16502.6,16406.5,16365.8,16624.2,16384.7,16665.6,16723.5,16365.8,16517.945
17499.2,17632.9,17551,17771.4,17608.9,17579,17482.7,17691,17591.7,17459.9,17582.3,17402.5,17657.2,17822.2,17529.6,17456.3,17646,17719.9,17445.2,17660.4,17822.2,17402.5,17589.465
16854.2,16838.4,17060,16867.4,16944.6,16894.1,16799,16864.7,16962,16915.5,16773,16771.1,16831.3,16800.1,16930.1,17108.4,16890.6,16703.6,17125.4,16855,17125.4,16703.6,16889.425
16578,16715,16666.3,16680.3,16702.6,16591.9,16585.5,16574.7,16901.9,16767.7,16401.8,16643.6,16656.3,16681.8,16617.3,16773.7,16592.1,16900.2,16563.3,16609.6,16901.9,16401.8,16660.18
17986.4,17968.3,17724.7,18013.2,17997.7,18099.3,17671.4,17605.2,17841.5,17929.2,17948.2,18176.2,17895.2,17994.1,17611.7,17745.7,17877,17797.8,17786.3,17779.1,18176.2,17605.2,17872.41
16954.9,16933,17066.3,17230.9,16912,17036,16995.9,17121.4,17038.8,16995.5,17035.3,17236.4,16822.7,16958.8,17174.7,17139.2,17019.7,17139.8,17055.8,16993.2,17236.4,16822.7,17043.015
16811.2,16647.6,16643.8,16621,16714.9,16699.1,16715.3,16651.2,16740.4,16841.4,16759.5,16667,16726.9,16917.7,16828,16653.6,16668.3,16710.5,16719.4,16729.4,16917.7,16621,16723.31
17178.8,17306,17297.3,16845.5,17389.1,17300.8,17409.9,17323.9,17393.9,17224.9,17307.4,17626,17208.2,17387.8,17624.1,17207.2,17251.4,17369.5,17246.4,17498.6,17626,16845.5,17319.835
16913.9,16681.7,16528.5,16524.8,16462.7,16839.6,16822.4,16623.2,16726.7,16632.4,16798.6,16731.7,16718.2,16740.1,16666.7,16814,16731.6,16607.5,16711.1,16835.4,16913.9,16462.7,16705.54
16787,16727.6,16460.8,16554.8,16511.1,16412.4,16658.9,16475.1,16385.3,16543,16381.6,16380.8,16557.3,16390.3,16369,16541.9,16425.6,16648.9,16560.2,16452.2,16787,16369,16511.19
17634.6,17756.7,17643.3,17700.6,17629.4,17587.2,17745.5,17620.6,17629.7,17619.1,17666.1,17684.6,17867.6,17642.3,17670.4,17766.7,17880.6,17801.4,17738.2,17884.6,17884.6,17587.2,17708.46
16774.8,16699.7,16954.8,16650.4,17238.2,17070.3,17008.6,16933.1,16928,16802.4,16817.7,17030.4,16759.7,17037,17006.2,16939.8,16902.3,17119.4,16808.6,17048.8,17238.2,16650.4,16926.51
16563.7,16499.4,16737.9,16795.1,16700.5,16779.3,16609.8,16591.5,16639.3,16663.2,16664.8,16644.6,16740.3,16633.9,16568.3,16516.9,16637.1,16501.6,16772.3,16507.8,16795.1,16499.4,16638.365
17878.9,17857.7,17826.3,17895.9,17932.2,18016.7,17975.5,18144,17987.9,18046.4,17977.4,18008.6,17837.6,18029.6,18035.5,17892.5,18093.4,17894.6,18256.1,17861.4,18256.1,17826.3,17972.41
16994.6,17168.8,17029.4,16933,17028.9,17059.5,16916.9,17091.2,16881.2,16911.2,17106.3,17066.1,17103.9,16981.2,16900.2,17099,17237.6,17051.2,17155,17081.8,17237.6,16881.2,17039.85
16651.1,16712.9,16792.7,16697.6,16954.3,16692.6,16977.6,16657.9,16698.7,16768.5,16818.3,16675.5,16771.5,16678.6,16702.5,16814.2,16652.4,16554.4,16762.2,16807.5,16977.6,16554.4,16742.05
17430.6,17350.3,17463.6,17075.6,17139.3,17492.2,17403,17411.9,17327.5,17420.9,17255.1,17314.9,17294.8,17082.3,17439.9,17217.2,17432,17458.6,17510.6,17271.1,17510.6,17075.6,17339.57
16727.5,16853.5,16921.9,16980,16922.7,16644.3,16598.8,16626.9,16800.3,16749.3,16592.1,16818.7,16652.7,16925.3,16870.9,16810.5,16572.6,16646.8,16913.9,16663.9,16980,16572.6,16764.63
16542.6,16786.2,16453.9,16574.8,16478.3,16579.2,16430.9,16488.6,16472.8,16503.2,16468,16481.9,16503.8,16314.2,16531.8,16643.6,16465.5,16445.6,16926.4,16905.4,16926.4,16314.2,16549.835
17956.1,17800.9,17602.3,17994.9,17565.7,17722.4,17766.8,17717.7,18000.9,17855.2,17611.3,17754.6,17850,17593.5,17634.4,17521.7,17819.1,17791.5,17742.5,17707.3,18000.9,17521.7,17750.44
17016.4,16784.8,17061.7,16881.1,16915.5,17050,16804.9,16871.6,16899.4,16916.7,16757.5,16772.5,16760.2,17024.8,16925.3,16948,16950,16917.5,16909.6,16765.2,17061.7,16757.5,16896.635
16678.3,16738.2,16503.3,16479.6,16641.1,16707,16581.2,16627.9,16725,16603.5,16637.2,16690,16557.5,16825.3,16782.3,16643.6,16576.4,16692.5,16611.9,16712.5,16825.3,16479.6,16650.715
17988,18109.7,17915,17839.4,18234,18150.6,17901.5,17856.2,18188.6,18262.2,18026,18111.3,18074.7,17937.2,18020.1,17956.6,18079.3,18269.2,18110.8,17889.6,18269.2,17839.4,18046
17084.2,17342.9,17029.5,16907.7,17146.2,17227.8,17098.7,17044,17085.6,16910.5,17127.5,17060,17225.4,17145.8,17049.4,17095.6,16971.7,17184.7,17220.2,17188.8,17342.9,16907.7,17107.31
16742.1,16711.1,16707.6,16984.2,16675.6,16645.8,16755.6,16846.6,16812.3,16741.3,16794.5,16832.8,16831.3,16666.6,16719.6,16628.7,16637.1,16749.2,16760.4,16721.4,16984.2,16628.7,16748.19
